,composition,Atoms,reduced_formula,mp-id,icsd_id,Make,Matches,0
0,Rb1Bi1Br4,"[1, 1, 4]",RbBiBr4,[],[],True,True,
1,Rb1Bi2Br7,"[1, 2, 7]",RbBi2Br7,mp-1105176,[430594],True,True,
2,Rb1Bi3Br10,"[1, 3, 10]",RbBi3Br10,[],[],False,False,
3,Rb1Bi4Br13,"[1, 4, 13]",RbBi4Br13,[],[],False,False,
4,Rb2Bi1Br5,"[2, 1, 5]",Rb2BiBr5,[],[],True,True,
5,Rb2Bi3Br11,"[2, 3, 11]",Rb2Bi3Br11,[],[],True,False,
6,Rb3Bi1Br6,"[3, 1, 6]",Rb3BiBr6,mp-1114493,[2253],True,True,
7,Rb3Bi2Br9,"[3, 2, 9]",Rb3Bi2Br9,mp-1195363,[431320],True,True,
8,Rb4Bi1Br7,"[4, 1, 7]",Rb4BiBr7,[],[],False,False,
9,Rb4Bi3Br13,"[4, 3, 13]",Rb4Bi3Br13,[],[],True,False,
10,Rb5Bi1Br8,"[5, 1, 8]",Rb5BiBr8,[],[],False,False,
11,Rb5Bi2Br11,"[5, 2, 11]",Rb5Bi2Br11,[],[],True,False,
12,Rb6Bi1Br9,"[6, 1, 9]",Rb6BiBr9,[],[],False,False,
13,Rb7Bi1Br10,"[7, 1, 10]",Rb7BiBr10,[],[],False,False,
14,Rb8Bi1Br11,"[8, 1, 11]",Rb8BiBr11,[],[],False,False,
15,Rb1Bi1I4,"[1, 1, 4]",RbBiI4,[],[],False,True,
16,Rb1Bi2I7,"[1, 2, 7]",RbBi2I7,[],[],False,True,
17,Rb1Bi3I10,"[1, 3, 10]",RbBi3I10,[],[],False,False,
18,Rb1Bi4I13,"[1, 4, 13]",RbBi4I13,[],[],False,False,
19,Rb2Bi1I5,"[2, 1, 5]",Rb2BiI5,[],[],False,True,
20,Rb2Bi3I11,"[2, 3, 11]",Rb2Bi3I11,[],[],False,False,
21,Rb3Bi1I6,"[3, 1, 6]",Rb3BiI6,[],[],False,True,
22,Rb3Bi2I9,"[3, 2, 9]",Rb3Bi2I9,mp-1195034,[431321],True,True,
23,Rb4Bi1I7,"[4, 1, 7]",Rb4BiI7,[],[],False,False,
24,Rb4Bi3I13,"[4, 3, 13]",Rb4Bi3I13,[],[],True,False,
25,Rb5Bi1I8,"[5, 1, 8]",Rb5BiI8,[],[],False,False,
26,Rb5Bi2I11,"[5, 2, 11]",Rb5Bi2I11,[],[],False,False,
27,Rb6Bi1I9,"[6, 1, 9]",Rb6BiI9,[],[],False,False,
28,Rb7Bi1I10,"[7, 1, 10]",Rb7BiI10,[],[],False,False,
29,Rb8Bi1I11,"[8, 1, 11]",Rb8BiI11,[],[],False,False,
30,Rb1Bi1Cl4,"[1, 1, 4]",RbBiCl4,[],[],False,True,
31,Rb1Bi2Cl7,"[1, 2, 7]",RbBi2Cl7,[],[],False,True,
32,Rb1Bi3Cl10,"[1, 3, 10]",RbBi3Cl10,[],[],False,False,
33,Rb1Bi4Cl13,"[1, 4, 13]",RbBi4Cl13,[],[],False,False,
34,Rb2Bi1Cl5,"[2, 1, 5]",Rb2BiCl5,[],[],False,True,
35,Rb2Bi3Cl11,"[2, 3, 11]",Rb2Bi3Cl11,[],[],False,False,
36,Rb3Bi1Cl6,"[3, 1, 6]",Rb3BiCl6,mp-1114619,[],True,True,
37,Rb3Bi2Cl9,"[3, 2, 9]",Rb3Bi2Cl9,[],[],False,True,
38,Rb4Bi1Cl7,"[4, 1, 7]",Rb4BiCl7,[],[],False,False,
39,Rb4Bi3Cl13,"[4, 3, 13]",Rb4Bi3Cl13,[],[],False,False,
40,Rb5Bi1Cl8,"[5, 1, 8]",Rb5BiCl8,[],[],False,False,
41,Rb5Bi2Cl11,"[5, 2, 11]",Rb5Bi2Cl11,[],[],True,False,
42,Rb6Bi1Cl9,"[6, 1, 9]",Rb6BiCl9,[],[],False,False,
43,Rb7Bi1Cl10,"[7, 1, 10]",Rb7BiCl10,[],[],False,False,
44,Rb8Bi1Cl11,"[8, 1, 11]",Rb8BiCl11,[],[],False,False,
45,Rb1Pb1Br3,"[1, 1, 3]",RbPbBr3,mp-998176,[],True,True,
46,Rb1Pb2Br5,"[1, 2, 5]",RbPb2Br5,mp-23043,"[26663, 151990]",True,True,
47,Rb1Pb3Br7,"[1, 3, 7]",RbPb3Br7,[],[],False,False,
48,Rb1Pb4Br9,"[1, 4, 9]",RbPb4Br9,[],[],False,False,
49,Rb1Pb5Br11,"[1, 5, 11]",RbPb5Br11,[],[],False,False,
50,Rb1Pb6Br13,"[1, 6, 13]",RbPb6Br13,[],[],False,False,
51,Rb2Pb1Br4,"[2, 1, 4]",Rb2PbBr4,[],[],True,False,
52,Rb2Pb3Br8,"[2, 3, 8]",Rb2Pb3Br8,[],[],True,False,
53,Rb2Pb5Br12,"[2, 5, 12]",Rb2Pb5Br12,[],[],True,False,
54,Rb3Pb1Br5,"[3, 1, 5]",Rb3PbBr5,[],[],True,True,
55,Rb3Pb2Br7,"[3, 2, 7]",Rb3Pb2Br7,[],[],True,False,
56,Rb3Pb4Br11,"[3, 4, 11]",Rb3Pb4Br11,[],[],True,False,
57,Rb4Pb1Br6,"[4, 1, 6]",Rb4PbBr6,mp-28564,[65300],True,True,
58,Rb4Pb3Br10,"[4, 3, 10]",Rb4Pb3Br10,[],[],True,False,
59,Rb5Pb1Br7,"[5, 1, 7]",Rb5PbBr7,[],[],False,False,
60,Rb5Pb2Br9,"[5, 2, 9]",Rb5Pb2Br9,[],[],True,False,
61,Rb5Pb3Br11,"[5, 3, 11]",Rb5Pb3Br11,[],[],True,False,
62,Rb6Pb1Br8,"[6, 1, 8]",Rb6PbBr8,[],[],False,False,
63,Rb7Pb1Br9,"[7, 1, 9]",Rb7PbBr9,[],[],False,False,
64,Rb7Pb2Br11,"[7, 2, 11]",Rb7Pb2Br11,[],[],True,False,
65,Rb8Pb1Br10,"[8, 1, 10]",Rb8PbBr10,[],[],False,False,
66,Rb1Pb1I3,"[1, 1, 3]",RbPbI3,mp-23517,"[6067, 161482, 161483]",True,True,
67,Rb1Pb2I5,"[1, 2, 5]",RbPb2I5,[],[],False,True,
68,Rb1Pb3I7,"[1, 3, 7]",RbPb3I7,[],[],False,False,
69,Rb1Pb4I9,"[1, 4, 9]",RbPb4I9,[],[],False,False,
70,Rb1Pb5I11,"[1, 5, 11]",RbPb5I11,[],[],False,False,
71,Rb1Pb6I13,"[1, 6, 13]",RbPb6I13,[],[],False,False,
72,Rb2Pb1I4,"[2, 1, 4]",Rb2PbI4,[],[],False,False,
73,Rb2Pb3I8,"[2, 3, 8]",Rb2Pb3I8,[],[],False,False,
74,Rb2Pb5I12,"[2, 5, 12]",Rb2Pb5I12,[],[],False,False,
75,Rb3Pb1I5,"[3, 1, 5]",Rb3PbI5,[],[],False,True,
76,Rb3Pb2I7,"[3, 2, 7]",Rb3Pb2I7,[],[],False,False,
77,Rb3Pb4I11,"[3, 4, 11]",Rb3Pb4I11,[],[],False,False,
78,Rb4Pb1I6,"[4, 1, 6]",Rb4PbI6,[],[],False,True,
79,Rb4Pb3I10,"[4, 3, 10]",Rb4Pb3I10,[],[],False,False,
80,Rb5Pb1I7,"[5, 1, 7]",Rb5PbI7,[],[],False,False,
81,Rb5Pb2I9,"[5, 2, 9]",Rb5Pb2I9,[],[],False,False,
82,Rb5Pb3I11,"[5, 3, 11]",Rb5Pb3I11,[],[],False,False,
83,Rb6Pb1I8,"[6, 1, 8]",Rb6PbI8,[],[],False,False,
84,Rb7Pb1I9,"[7, 1, 9]",Rb7PbI9,[],[],False,False,
85,Rb7Pb2I11,"[7, 2, 11]",Rb7Pb2I11,[],[],False,False,
86,Rb8Pb1I10,"[8, 1, 10]",Rb8PbI10,[],[],False,False,
87,Rb1Pb1Cl3,"[1, 1, 3]",RbPbCl3,mp-998604,[],True,True,
88,Rb1Pb2Cl5,"[1, 2, 5]",RbPb2Cl5,[],[],False,True,
89,Rb1Pb3Cl7,"[1, 3, 7]",RbPb3Cl7,[],[],False,False,
90,Rb1Pb4Cl9,"[1, 4, 9]",RbPb4Cl9,[],[],False,False,
91,Rb1Pb5Cl11,"[1, 5, 11]",RbPb5Cl11,[],[],False,False,
92,Rb1Pb6Cl13,"[1, 6, 13]",RbPb6Cl13,[],[],False,False,
93,Rb2Pb1Cl4,"[2, 1, 4]",Rb2PbCl4,[],[],True,False,
94,Rb2Pb3Cl8,"[2, 3, 8]",Rb2Pb3Cl8,[],[],False,False,
95,Rb2Pb5Cl12,"[2, 5, 12]",Rb2Pb5Cl12,[],[],False,False,
96,Rb3Pb1Cl5,"[3, 1, 5]",Rb3PbCl5,mp-29883,[89570],True,True,
97,Rb3Pb2Cl7,"[3, 2, 7]",Rb3Pb2Cl7,[],[],True,False,
98,Rb3Pb4Cl11,"[3, 4, 11]",Rb3Pb4Cl11,[],[],False,False,
99,Rb4Pb1Cl6,"[4, 1, 6]",Rb4PbCl6,[],[],False,True,
100,Rb4Pb3Cl10,"[4, 3, 10]",Rb4Pb3Cl10,[],[],True,False,
101,Rb5Pb1Cl7,"[5, 1, 7]",Rb5PbCl7,[],[],False,False,
102,Rb5Pb2Cl9,"[5, 2, 9]",Rb5Pb2Cl9,[],[],True,False,
103,Rb5Pb3Cl11,"[5, 3, 11]",Rb5Pb3Cl11,[],[],True,False,
104,Rb6Pb1Cl8,"[6, 1, 8]",Rb6PbCl8,[],[],False,False,
105,Rb7Pb1Cl9,"[7, 1, 9]",Rb7PbCl9,[],[],False,False,
106,Rb7Pb2Cl11,"[7, 2, 11]",Rb7Pb2Cl11,[],[],True,False,
107,Rb8Pb1Cl10,"[8, 1, 10]",Rb8PbCl10,[],[],False,False,
108,Rb1Sb1Br4,"[1, 1, 4]",RbSbBr4,[],[],False,True,
109,Rb1Sb2Br7,"[1, 2, 7]",RbSb2Br7,[],[],False,True,
110,Rb1Sb3Br10,"[1, 3, 10]",RbSb3Br10,[],[],False,False,
111,Rb1Sb4Br13,"[1, 4, 13]",RbSb4Br13,[],[],False,False,
112,Rb2Sb1Br5,"[2, 1, 5]",Rb2SbBr5,[],[],True,True,
113,Rb2Sb3Br11,"[2, 3, 11]",Rb2Sb3Br11,[],[],False,False,
114,Rb3Sb1Br6,"[3, 1, 6]",Rb3SbBr6,mp-1114502,[],True,True,
115,Rb3Sb2Br9,"[3, 2, 9]",Rb3Sb2Br9,mp-1194576,[431322],True,True,
116,Rb4Sb1Br7,"[4, 1, 7]",Rb4SbBr7,[],[],False,False,
